,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
92,1,1,146,27.0,1,2.0,52.0,270
93,0,3,272,27.0,0,0.0,8.05,270
94,0,1,272,25.0,0,0.0,26.0,102
95,0,3,272,25.0,0,0.0,7.7958,270
96,1,1,146,76.0,1,0.0,78.85,270
97,0,3,272,29.0,0,0.0,7.925,270
98,1,3,146,20.0,0,0.0,7.8542,270
99,0,3,272,33.0,0,0.0,8.05,270
100,1,1,146,43.0,1,0.0,55.4417,102
101,0,2,272,27.0,1,0.0,26.0,270
102,0,3,272,27.0,0,0.0,7.75,46
103,0,3,272,26.0,0,0.0,7.775,270
104,1,3,146,16.0,1,1.0,8.5167,102
105,0,3,272,28.0,0,0.0,22.525,270
106,0,3,272,21.0,0,0.0,7.8208,46
107,0,3,272,27.0,0,0.0,7.75,46
108,0,3,272,27.0,0,0.0,8.7125,270
109,0,2,272,18.5,0,0.0,13.0,270
110,0,2,272,41.0,0,0.0,15.0458,102
111,1,3,146,27.0,0,0.0,7.7792,46
112,1,1,146,36.0,0,0.0,31.6792,102
113,1,3,146,18.5,0,0.0,7.2833,46
114,1,1,146,63.0,1,0.0,221.7792,270
115,0,3,272,18.0,1,0.0,14.4542,102
116,0,3,272,27.0,0,0.0,6.4375,102
117,1,3,146,1.0,1,1.0,16.7,270
118,0,1,272,36.0,0,0.0,75.2417,102
119,1,2,146,29.0,1,0.0,26.0,270
120,1,2,146,12.0,0,0.0,15.75,270
121,0,3,272,27.0,1,0.0,7.75,46
122,1,1,146,35.0,1,0.0,57.75,102
123,0,3,272,28.0,0,0.0,7.25,270
124,0,3,272,27.0,0,0.0,7.75,46
125,1,3,146,17.0,0,1.0,16.1,270
126,0,3,272,22.0,0,0.0,7.7958,270
127,1,3,146,27.0,2,0.0,23.25,46
128,0,2,272,42.0,0,0.0,13.0,270
129,0,3,272,24.0,0,0.0,8.05,270
130,0,3,272,32.0,0,0.0,8.05,270
131,0,1,272,53.0,0,0.0,28.5,102
132,1,3,146,27.0,0,4.0,25.4667,270
133,0,3,272,27.0,1,0.0,6.4375,102
134,0,3,272,43.0,0,0.0,7.8958,270
135,0,3,272,24.0,0,0.0,7.8542,270
136,0,3,272,26.5,0,0.0,7.225,102
137,0,2,272,26.0,0,0.0,13.0,270
138,1,3,146,23.0,0,0.0,8.05,270
139,0,3,272,40.0,1,6.0,46.9,270
140,1,3,146,10.0,5,2.0,46.9,270
141,1,1,146,33.0,0,0.0,151.55,270
142,0,1,272,61.0,1,3.0,262.375,102
143,0,2,272,28.0,0,0.0,26.0,270
144,0,1,272,42.0,0,0.0,26.55,270
145,0,3,272,31.0,3,0.0,18.0,270
146,0,1,272,27.0,0,0.0,51.8625,270
147,0,3,272,22.0,0,0.0,8.05,270
148,0,1,272,27.0,0,0.0,26.55,270
149,0,2,272,30.0,1,1.0,26.0,270
150,1,1,146,23.0,0,1.0,83.1583,102
151,0,3,272,27.0,0,0.0,7.8958,102
152,0,3,272,60.5,0,0.0,14.4542,270
153,1,3,146,36.0,0,2.0,12.1833,270
154,0,3,272,13.0,4,2.0,31.3875,270
155,0,3,272,24.0,0,0.0,7.55,270
156,1,1,146,29.0,0,0.0,221.7792,270
157,1,3,146,23.0,0,0.0,7.8542,270
158,0,1,272,42.0,0,0.0,26.55,270
159,1,3,146,26.0,0,2.0,13.775,270
160,1,3,146,27.0,0,0.0,7.7333,46
161,0,3,272,7.0,1,1.0,15.2458,102
162,1,2,146,26.0,0,0.0,13.5,270
163,0,3,272,27.0,0,0.0,7.0,270
164,0,2,272,41.0,0,0.0,13.0,270
165,1,3,146,26.0,1,1.0,22.025,270
166,0,1,272,48.0,0,0.0,50.4958,102
167,0,3,272,18.0,2,0.0,34.375,270
168,1,1,146,27.0,0,0.0,27.7208,102
169,1,3,146,22.0,0,0.0,8.9625,270
170,0,3,272,27.0,0,0.0,7.55,270
171,0,3,272,27.0,0,0.0,7.225,102
172,0,3,272,23.0,1,0.0,13.9,270
173,0,3,272,27.0,0,0.0,7.2292,102
174,0,3,272,40.0,1,5.0,31.3875,270
175,1,2,146,15.0,0,2.0,39.0,270
176,1,2,146,20.0,0,0.0,36.75,270
177,0,1,272,54.0,1,0.0,55.4417,102
178,1,2,146,36.0,0,3.0,39.0,270
179,1,1,146,64.0,0,2.0,83.1583,102
180,0,2,272,30.0,0,0.0,13.0,270
181,0,1,272,37.0,1,1.0,83.1583,102
182,1,1,146,18.0,1,0.0,53.1,270
183,0,3,272,27.0,0,0.0,7.75,46
184,1,1,146,27.0,1,1.0,247.5208,102
185,0,2,272,40.0,0,0.0,16.0,270
186,1,2,146,21.0,0,1.0,21.0,270
187,0,3,272,17.0,2,0.0,8.05,270
188,1,3,146,27.0,8,2.0,69.55,270
189,0,2,272,40.0,0,0.0,13.0,270
190,0,2,272,34.0,1,0.0,26.0,270
191,0,1,272,27.0,0,0.0,26.0,270
192,0,3,272,11.5,1,1.0,14.5,270
193,0,2,272,61.0,0,0.0,12.35,46
194,0,2,272,8.0,0,2.0,32.5,270
195,0,3,272,33.0,0,0.0,7.8542,270
196,0,1,272,6.0,0,2.0,134.5,102
197,1,3,146,18.0,0,0.0,7.775,270
198,0,2,272,23.0,0,0.0,10.5,270
199,1,3,146,27.0,0,0.0,8.1125,270
200,1,3,146,27.0,0,0.0,15.5,46
201,0,3,272,0.33,0,2.0,14.4,270
202,0,1,272,47.0,1,0.0,227.525,102
203,1,2,146,8.0,1,1.0,26.0,270
204,0,2,272,25.0,0,0.0,10.5,270
205,0,1,272,27.0,0,0.0,25.7417,102
206,1,3,146,35.0,0,0.0,7.75,46
207,0,2,272,24.0,0,0.0,10.5,270
208,1,1,146,33.0,0,0.0,27.7208,102
209,0,3,272,25.0,0,0.0,7.8958,270
210,0,3,272,32.0,0,0.0,22.525,270
211,0,3,272,27.0,0,0.0,7.05,270
212,0,2,272,17.0,0,0.0,73.5,270
213,1,2,146,60.0,1,0.0,26.0,270
214,1,3,146,38.0,4,2.0,7.775,270
215,0,1,272,42.0,0,0.0,42.5,270
216,1,3,146,27.0,0,0.0,7.8792,46
217,0,1,272,57.0,1,1.0,164.8667,270
218,1,1,146,50.0,1,1.0,211.5,102
219,0,3,272,27.0,0,0.0,8.05,270
220,1,2,146,30.0,1,0.0,13.8583,102
221,0,3,272,21.0,0,0.0,8.05,270
222,1,2,146,22.0,0,0.0,10.5,270
223,0,3,272,21.0,0,0.0,7.7958,270
224,1,1,146,53.0,0,0.0,27.4458,102
225,1,3,146,27.0,0,0.0,15.2458,102
226,0,3,272,23.0,0,0.0,7.7958,270
227,1,3,146,27.0,0,0.0,7.75,46
228,0,3,272,40.5,0,0.0,15.1,270
229,0,2,272,36.0,0,0.0,13.0,270
230,0,2,272,14.0,0,0.0,65.0,270
231,1,1,146,21.0,0,0.0,26.55,270
232,0,3,272,21.0,1,0.0,6.4958,270
233,0,3,272,27.0,0,0.0,7.8792,46
234,0,1,272,39.0,1,0.0,71.2833,102
235,0,3,272,20.0,0,0.0,7.8542,270
236,0,1,272,64.0,1,0.0,75.25,102
237,0,3,272,20.0,0,0.0,7.225,102
238,1,2,146,18.0,1,0.0,13.0,270
239,1,1,146,48.0,1,0.0,106.425,102
240,1,1,272,55.0,0,0.0,27.7208,102
241,1,2,146,45.0,0,0.0,30.0,270
242,0,1,272,45.0,1,1.0,134.5,102
243,0,3,272,27.0,0,0.0,7.8875,270
244,0,3,272,27.0,1,2.0,23.45,270
245,0,1,272,41.0,1,0.0,51.8625,270
246,1,2,146,22.0,0,0.0,21.0,270
247,0,2,272,42.0,1,1.0,32.5,270
248,1,2,146,29.0,1,0.0,26.0,270
249,1,3,146,27.0,1,0.0,14.4542,102
250,1,2,146,0.92,1,0.0,27.75,270
251,0,3,272,20.0,0,0.0,7.925,270
252,0,1,272,27.0,1,0.0,136.7792,102
253,0,3,272,24.0,0,0.0,9.325,270
254,0,3,272,32.5,0,0.0,9.5,270
255,0,3,272,27.0,0,0.0,7.55,270
256,0,3,272,27.0,0,0.0,7.75,46
257,0,3,272,28.0,0,0.0,8.05,270
258,1,2,146,19.0,0,0.0,13.0,270
259,0,3,272,21.0,0,0.0,7.775,270
260,0,3,272,36.5,1,0.0,17.4,270
261,0,3,272,21.0,0,0.0,7.8542,270
262,1,2,146,29.0,0,2.0,23.0,270
263,1,3,146,1.0,1,1.0,12.1833,270
264,0,2,272,30.0,0,0.0,12.7375,102
265,0,3,272,27.0,0,0.0,7.8958,270
266,0,1,272,27.0,0,0.0,0.0,270
267,0,3,272,27.0,0,0.0,7.55,270
268,1,3,272,27.0,0,0.0,8.05,270
269,0,3,272,17.0,0,0.0,8.6625,270
270,0,1,272,46.0,0,0.0,75.2417,102
271,0,3,272,27.0,0,0.0,7.75,46
272,1,1,146,26.0,1,0.0,136.7792,102
273,1,3,146,27.0,1,0.0,15.5,46
274,0,3,272,27.0,0,0.0,7.225,102
275,1,2,146,20.0,1,0.0,26.0,270
276,0,2,272,28.0,0,0.0,10.5,270
277,0,2,272,40.0,1,0.0,26.0,270
278,0,2,272,30.0,1,0.0,21.0,270
279,0,2,272,22.0,0,0.0,10.5,270
280,1,3,146,23.0,0,0.0,8.6625,270
281,0,3,272,0.75,1,1.0,13.775,270
282,1,3,146,27.0,0,0.0,7.75,46
283,1,3,146,9.0,1,1.0,15.2458,102
284,1,3,146,2.0,1,1.0,20.2125,270
285,0,3,272,36.0,0,0.0,7.25,270
286,0,3,272,27.0,0,0.0,7.25,270
287,0,1,272,24.0,1,0.0,82.2667,270
288,0,3,272,27.0,0,0.0,7.2292,102
289,0,3,272,27.0,0,0.0,8.05,270
290,0,1,272,27.0,0,0.0,39.6,270
291,1,3,146,30.0,0,0.0,6.95,46
292,0,3,272,27.0,0,0.0,7.2292,102
293,0,1,272,53.0,1,1.0,81.8583,270
294,0,3,272,36.0,0,0.0,9.5,270
295,0,3,272,26.0,0,0.0,7.8958,270
296,1,2,146,1.0,1,2.0,41.5792,102
297,0,3,272,27.0,2,0.0,21.6792,102
298,0,1,272,30.0,0,0.0,45.5,270
299,0,3,272,29.0,0,0.0,7.8542,270
300,0,3,272,32.0,0,0.0,7.775,270
301,0,2,272,27.0,0,0.0,15.0458,102
302,0,2,272,43.0,0,1.0,21.0,270
303,0,3,272,24.0,0,0.0,8.6625,270
304,1,3,146,27.0,0,0.0,7.75,46
305,1,1,146,64.0,1,1.0,26.55,270
306,0,1,272,30.0,1,2.0,151.55,270
307,0,3,272,0.83,0,0.0,9.35,270
308,0,1,272,55.0,1,1.0,93.5,270
309,1,3,146,45.0,1,0.0,14.1083,270
310,0,3,272,18.0,0,0.0,8.6625,270
311,0,3,272,22.0,0,0.0,7.225,102
312,0,3,272,27.0,0,0.0,7.575,270
313,1,3,146,37.0,0,0.0,7.75,46
314,1,1,146,55.0,0,0.0,135.6333,102
315,1,3,146,17.0,0,0.0,7.7333,46
316,0,1,272,57.0,1,0.0,146.5208,102
317,0,2,272,19.0,0,0.0,10.5,270
318,0,3,272,27.0,0,0.0,7.8542,270
319,0,2,272,22.0,2,0.0,31.5,270
320,0,3,272,26.0,0,0.0,7.775,270
321,0,3,272,25.0,0,0.0,7.2292,102
322,0,2,272,26.0,0,0.0,13.0,270
323,0,1,272,33.0,0,0.0,26.55,270
324,1,1,146,39.0,0,0.0,211.3375,270
325,0,3,272,23.0,0,0.0,7.05,270
326,1,2,146,12.0,2,1.0,39.0,270
327,0,1,272,46.0,0,0.0,79.2,102
328,0,2,272,29.0,1,0.0,26.0,270
329,0,2,272,21.0,0,0.0,13.0,270
330,1,2,146,48.0,0,2.0,36.75,270
331,0,1,272,39.0,0,0.0,29.7,102
332,0,3,272,27.0,0,0.0,7.225,102
333,1,3,146,19.0,1,1.0,15.7417,102
334,0,3,272,27.0,0,0.0,7.8958,270
335,0,1,272,30.0,0,0.0,26.0,270
336,0,2,272,32.0,0,0.0,13.0,270
337,0,3,272,39.0,0,2.0,7.2292,102
338,0,2,272,25.0,0,0.0,31.5,270
339,0,3,272,27.0,0,0.0,7.2292,102
340,0,2,272,18.0,0,0.0,10.5,270
341,0,3,272,32.0,0,0.0,7.5792,270
342,0,3,272,27.0,1,9.0,69.55,270
343,1,1,146,58.0,0,1.0,512.3292,102
344,0,3,272,27.0,1,1.0,14.5,270
345,1,3,146,16.0,0,0.0,7.65,270
346,0,2,272,26.0,0,0.0,13.0,270
347,1,3,146,38.0,0,0.0,7.2292,102
348,0,2,272,24.0,0,0.0,13.5,270
349,1,2,146,31.0,0,0.0,21.0,270
350,1,1,146,45.0,0,1.0,63.3583,102
351,0,2,272,25.0,0,0.0,10.5,270
352,0,2,272,18.0,0,0.0,73.5,270
353,0,2,272,49.0,1,2.0,65.0,270
354,1,3,146,0.17,1,2.0,20.575,270
355,0,1,272,50.0,0,0.0,26.0,270
356,1,1,146,59.0,2,0.0,51.4792,270
357,0,3,272,27.0,0,0.0,7.8792,270
358,0,3,272,27.0,0,0.0,7.75,46
359,1,3,146,30.0,1,0.0,15.55,270
360,0,3,272,14.5,8,2.0,69.55,270
361,1,2,272,24.0,1,1.0,37.0042,102
362,1,2,146,31.0,0,0.0,21.0,270
363,0,3,272,27.0,0,0.0,8.6625,270
364,1,1,146,25.0,1,0.0,55.4417,102
365,1,3,146,27.0,1,9.0,69.55,270
366,0,3,272,27.0,1,0.0,14.4583,102
367,1,3,272,22.0,0,0.0,39.6875,270
368,1,1,146,45.0,0,1.0,59.4,102
369,0,2,272,29.0,0,0.0,13.8583,102
370,0,2,272,21.0,1,0.0,11.5,270
371,1,1,146,31.0,0,0.0,134.5,102
372,0,1,272,49.0,0,0.0,0.0,270
373,0,2,272,44.0,0,0.0,13.0,270
374,1,1,146,54.0,1,1.0,81.8583,270
375,1,1,146,45.0,0,0.0,262.375,102
376,1,3,146,22.0,2,0.0,8.6625,270
377,0,2,272,21.0,0,0.0,11.5,270
378,0,1,272,55.0,0,0.0,50.0,270
379,0,3,272,5.0,4,2.0,31.3875,270
380,0,3,272,27.0,0,0.0,7.75,46
381,0,3,272,26.0,0,0.0,7.8792,46
382,1,3,146,27.0,0,0.0,14.5,270
383,1,3,146,19.0,1,0.0,16.1,270
384,0,2,272,27.0,0,0.0,12.875,270
385,1,2,146,24.0,1,2.0,65.0,270
386,0,3,272,24.0,0,0.0,7.775,270
387,0,2,272,57.0,0,0.0,13.0,270
388,0,3,272,21.0,0,0.0,7.75,46
389,0,3,272,6.0,3,1.0,21.075,270
390,0,1,272,23.0,0,0.0,93.5,270
391,1,1,146,51.0,0,1.0,39.4,270
392,0,3,272,13.0,0,2.0,20.25,270
393,0,2,272,47.0,0,0.0,10.5,270
394,0,3,272,29.0,3,0.0,22.025,270
395,1,1,146,18.0,1,0.0,60.0,270
396,0,3,272,24.0,0,0.0,7.25,46
397,1,1,146,48.0,1,1.0,79.2,102
398,0,3,272,22.0,0,0.0,7.775,270
399,0,3,272,31.0,0,0.0,7.7333,46
400,1,1,146,30.0,0,0.0,164.8667,270
401,0,2,272,38.0,1,0.0,21.0,270
402,1,1,146,22.0,0,1.0,59.4,102
403,0,1,272,17.0,0,0.0,47.1,270
404,0,1,272,43.0,1,0.0,27.7208,102
405,0,2,272,20.0,0,0.0,13.8625,102
406,0,2,272,23.0,1,0.0,10.5,270
407,0,1,272,50.0,1,1.0,211.5,102
408,1,3,146,27.0,0,0.0,7.7208,46
409,1,3,146,3.0,1,1.0,13.775,270
410,1,3,146,27.0,0,0.0,7.75,46
411,1,1,146,37.0,1,0.0,90.0,46
412,1,3,146,28.0,0,0.0,7.775,270
413,0,3,272,27.0,0,0.0,8.05,270
414,1,1,146,39.0,0,0.0,108.9,102
415,0,3,272,38.5,0,0.0,7.25,270
416,0,3,272,27.0,0,0.0,8.05,270
417,0,3,272,27.0,1,1.0,22.3583,102
